sep=,
"Time","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / PKG","camunda-platform-tasklist-9968d5594-9257r / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / DRAM","camunda-platform-tasklist-9968d5594-9257r / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / OTHER","camunda-platform-tasklist-9968d5594-9257r / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / OTHER"
2024-02-13 15:13:40,0.412,0.377,0.185,0.184,0.377,0.221,0.0354,0.0354,0.0177,0.0177,0.0177,0.0177,0,0,0,0,0,0
2024-02-13 15:13:50,0.505,0.374,0.183,0.186,0.314,0.204,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:14:00,0.534,0.522,0.257,0.245,0.449,0.305,0.0468,0.0468,0.0234,0.0234,0.0234,0.0234,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
2024-02-13 15:14:10,0.413,0.381,0.190,0.183,0.338,0.215,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:14:20,0.380,0.399,0.187,0.184,0.366,0.216,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:14:30,0.524,0.504,0.270,0.245,0.409,0.268,0.0468,0.0468,0.0234,0.0234,0.0234,0.0234,0,0,0,0,0,0
2024-02-13 15:14:40,0.373,0.377,0.185,0.190,0.327,0.223,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:14:50,0.368,0.364,0.183,0.182,0.294,0.198,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:15:00,0.537,0.505,0.252,0.245,0.431,0.302,0.0462,0.0462,0.0231,0.0231,0.0231,0.0231,0,0,0,0,0,0
2024-02-13 15:15:10,0.387,0.395,0.188,0.185,0.498,0.237,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:15:20,0.377,0.371,0.186,0.187,0.362,0.210,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:15:30,0.628,0.506,0.253,0.250,0.462,0.284,0.0462,0.0462,0.0231,0.0231,0.0231,0.0231,0,0,0,0,0,0
2024-02-13 15:15:40,0.375,0.382,0.185,0.183,0.325,0.209,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:15:50,0.370,0.402,0.186,0.209,0.309,0.216,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:16:00,0.499,0.497,0.284,0.244,0.379,0.268,0.0474,0.0474,0.0237,0.0237,0.0237,0.0237,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
2024-02-13 15:16:10,0.378,0.399,0.189,0.184,0.314,0.205,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:16:20,0.374,0.370,0.186,0.193,0.288,0.202,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:16:30,0.512,0.505,0.266,0.246,0.467,0.276,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0,0,0,0,0,0
2024-02-13 15:16:40,0.379,0.392,0.190,0.189,0.386,0.223,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:16:50,0.391,0.371,0.187,0.186,0.344,0.225,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:17:00,0.520,0.500,0.471,0.245,0.501,0.285,0.0450,0.0450,0.0225,0.0225,0.0225,0.0225,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
2024-02-13 15:17:10,0.377,0.440,0.189,0.209,0.355,0.212,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:17:20,0.374,0.368,0.187,0.193,0.300,0.198,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:17:30,0.504,0.501,0.265,0.246,0.440,0.270,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0,0,0,0,0,0
2024-02-13 15:17:40,0.372,0.373,0.185,0.182,0.286,0.197,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:17:50,0.535,0.364,0.194,0.180,0.354,0.205,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:18:00,0.506,0.689,0.259,0.252,0.392,0.267,0.0462,0.0462,0.0231,0.0231,0.0231,0.0231,0,0,0,0,0,0
2024-02-13 15:18:10,0.563,0.377,0.186,0.183,0.313,0.211,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:18:20,0.368,0.369,0.184,0.308,0.271,0.199,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:18:30,0.506,0.506,0.255,0.247,0.451,0.270,0.0450,0.0450,0.0225,0.0225,0.0225,0.0225,0,0,0,0,0,0
2024-02-13 15:18:40,0.377,0.375,0.185,0.185,0.300,0.256,0.0354,0.0354,0.0177,0.0177,0.0177,0.0177,0,0,0,0,0,0
2024-02-13 15:18:50,0.401,0.372,0.188,0.312,0.368,0.215,0.0354,0.0354,0.0177,0.0177,0.0177,0.0177,0,0,0,0,0,0
2024-02-13 15:19:00,0.512,0.504,0.255,0.276,0.390,0.270,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
2024-02-13 15:19:10,0.380,0.502,0.188,0.211,0.349,0.214,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:19:20,0.379,0.368,0.187,0.186,0.345,0.217,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:19:30,0.507,0.503,0.248,0.244,0.479,0.291,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
2024-02-13 15:19:40,0.375,0.379,0.184,0.183,0.308,0.205,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:19:50,0.369,0.363,0.183,0.182,0.336,0.206,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:20:00,0.502,0.502,0.298,0.245,0.387,0.268,0.0474,0.0474,0.0237,0.0237,0.0237,0.0237,0,0,0,0,0,0
2024-02-13 15:20:10,0.380,0.372,0.186,0.206,0.328,0.206,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:20:20,0.376,0.370,0.185,0.433,0.337,0.209,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:20:30,0.500,0.496,0.246,0.251,0.409,0.270,0.0450,0.0450,0.0225,0.0225,0.0225,0.0225,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
2024-02-13 15:20:40,0.372,0.385,0.185,0.183,0.313,0.207,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:20:50,0.398,0.599,0.185,0.198,0.369,0.223,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:21:00,0.507,0.500,0.266,0.267,0.418,0.276,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0,0,0,0,0,0
2024-02-13 15:21:10,0.378,0.378,0.187,0.183,0.319,0.219,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:21:20,0.382,0.367,0.191,0.187,0.328,0.221,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:21:30,0.509,0.515,0.259,0.245,0.449,0.277,0.0450,0.0450,0.0225,0.0225,0.0225,0.0225,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
2024-02-13 15:21:40,0.376,0.369,0.184,0.183,0.310,0.205,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:21:50,0.367,0.361,0.182,0.183,0.310,0.199,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:22:00,0.503,0.502,0.359,0.247,0.490,0.303,0.0474,0.0474,0.0237,0.0237,0.0237,0.0237,0,0,0,0,0,0
2024-02-13 15:22:10,0.400,0.400,0.187,0.183,0.364,0.222,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:22:20,0.386,0.377,0.523,0.184,0.464,0.226,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:22:30,0.500,0.500,0.261,0.248,0.422,0.343,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0,0,0,0,0,0
2024-02-13 15:22:40,0.375,0.384,0.185,0.205,0.306,0.204,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:22:50,0.373,0.365,0.184,0.183,0.304,0.202,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:23:00,0.500,0.617,0.257,0.244,0.427,0.274,0.0450,0.0450,0.0225,0.0225,0.0225,0.0225,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
2024-02-13 15:23:10,0.373,0.370,0.185,0.183,0.314,0.210,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:23:20,0.376,0.368,0.185,0.243,0.294,0.241,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:23:30,0.506,0.499,0.252,0.245,0.475,0.294,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0.000300,0.000300,0.000300,0.000300,0.000300,0.000300
