sep=,
"Time","max capacity","alertmanager-kube-prometheus-stackr-alertmanager-0","camunda-platform-connectors-7fd698449b-vvm76","camunda-platform-elasticsearch-master-0","camunda-platform-elasticsearch-master-1","camunda-platform-operate-5bc7c489c4-8xh6n","camunda-platform-tasklist-9968d5594-82sgg","camunda-platform-zeebe-0","camunda-platform-zeebe-gateway-5ff76496c4-vf4q5","console-worker-console-worker-chart-camunda-8-go-console-whvxc2","coredns-77ccd57875-qkp4q","kepler-ln5kk","kube-prometheus-stackr-grafana-7ffd75f6bd-42n6h","kube-prometheus-stackr-kube-state-metrics-5f4cb89995-qf4pn","kube-prometheus-stackr-operator-7c7767ffc-sdpxc","kube-prometheus-stackr-prometheus-node-exporter-jwms7","load-controller-58b9d65bf8-mm8d9","load-controller-644684d46f-q72xk","load-controller-66cf7f68-hmt2r","load-controller-66cf7f68-rttrm","load-controller-67c58875f5-ppk6k","load-controller-684f654f8f-fwwhx","load-controller-6c875465d-9nfmj","load-controller-78654477db-7h79d","load-controller-7cd88f89fb-6h24w","load-controller-7cd88f89fb-98h2w","load-controller-7cd88f89fb-pw9k6","load-controller-84f88854fb-nwg5d","load-controller-89c75c689-mjwmf","load-controller-c48bd755c-8twph","local-path-provisioner-957fdf8bc-jnlfw","metrics-server-648b5df564-msqlc","prometheus-kube-prometheus-stackr-prometheus-0","restworkerjava-7cd449c7c9-q9lzx","restworkerjava-7f998589b5-tccv8","restworkerjava-b4485bd46-mj52s","restworkerjava-dfbc8756-4g77l","restworkerjava-dfbc8756-4lqdh","restworkerjava-dfbc8756-4q4st","restworkerjava-dfbc8756-6j9jb","restworkerjava-dfbc8756-77lrm","restworkerjava-dfbc8756-7dh9j","restworkerjava-dfbc8756-89txf","restworkerjava-dfbc8756-9kbrz","restworkerjava-dfbc8756-9rrdr","restworkerjava-dfbc8756-bhtxw","restworkerjava-dfbc8756-c4lpd","restworkerjava-dfbc8756-dh28k","restworkerjava-dfbc8756-dr98f","restworkerjava-dfbc8756-dtcnc","restworkerjava-dfbc8756-g4k92","restworkerjava-dfbc8756-j5cp6","restworkerjava-dfbc8756-j7lvh","restworkerjava-dfbc8756-js8dz","restworkerjava-dfbc8756-jx96t","restworkerjava-dfbc8756-kd64r","restworkerjava-dfbc8756-kqzlz","restworkerjava-dfbc8756-ln9ms","restworkerjava-dfbc8756-mb9l6","restworkerjava-dfbc8756-nblzj","restworkerjava-dfbc8756-pbwzt","restworkerjava-dfbc8756-rqf8k","restworkerjava-dfbc8756-rx95h","restworkerjava-dfbc8756-t6kb8","restworkerjava-dfbc8756-t6mrd","restworkerjava-dfbc8756-xpz7n","restworkerjava-dfbc8756-zjg5w","restworkerjava-dfbc8756-zxmb6","svclb-traefik-5671c552-795qx","test-responder-7f775dc4f9-9pzkz","test-responder-84465bf468-xpb5w","traefik-768bdcdcdd-4f8ms"
2023-12-12 15:34:00,12,0.000135,0.00388,0.112,0.140,0.0754,0.0225,0.236,0.0509,0.000313,0.00244,0.0159,0.0125,0.000486,0.000258,0.00347,0.00277,,,,,,,,,,,,,,0.000231,0.00311,0.0316,,,,0.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00925,,0.000543
2023-12-12 15:36:00,12,0.000266,0.00289,0.116,0.127,0.0672,0.0302,0.255,0.0559,0.000477,0.00210,0.0151,0.0136,0.000693,0.000433,0.00318,0.280,,,,,,,,,,,,,,0.000263,0.00385,0.0205,,,,0.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0110,,0.000720
2023-12-12 15:38:00,12,0.000766,0.00510,0.180,0.199,0.103,0.0392,0.263,0.0826,0.000380,0.00285,0.0177,0.0176,0.000961,0.000414,0.00162,0.280,,,,,,,,,,,,,,0.000267,0.00371,0.0204,,,,0.0194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0194,,0.000489
2023-12-12 15:40:00,12,0.00103,0.0114,0.559,0.306,0.115,0.114,0.414,0.0849,0.000808,0.00830,0.0396,0.0449,0.00318,0.00316,0.00409,0,,,,,,,,,,,,,,0.000956,0.00761,0.0440,,,,0.0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0270,,0.00479
2023-12-12 15:42:00,12,0.000493,0.00323,0.0945,0.105,0.0641,0.0317,0.266,0.0533,0.000356,0.00280,0.0164,0.0195,0.000525,0.000336,0.00252,0,,,,,,,,,,,,,,0.000288,0.00337,0.0225,,,,0.0197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0155,,0.000338
2023-12-12 15:44:00,12,0.000966,0.00393,0.182,0.216,0.0779,0.0382,0.285,0.0529,0.000636,0.00288,0.0173,0.0350,0.00142,0.000489,0.00228,0,,,,,,,,,,,,,,0.000765,0.00609,0.0444,,,,0.0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0175,,0.00290
2023-12-12 15:46:00,12,0.000763,0.00947,0.0980,0.105,0.0694,0.0327,0.315,0.0587,0.000363,0.00328,0.0197,0.0242,0.000810,0.000340,0.00276,0,,,,,,,,,,,,,,0.000283,0.00332,0.0207,,,,0.0266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0152,,0.000444
2023-12-12 15:48:00,12,0.000117,0.00436,0.108,0.115,0.0663,0.0235,0.317,0.0543,0.000633,0.00290,0.0185,0.0261,0.000911,0.000503,0.00355,0,,,,,,,,,,,,,,0.000380,0.00407,0.0367,,,,0.0227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0152,,0.00118
2023-12-12 15:50:00,12,0.00216,0.00553,0.180,0.199,0.0757,0.0256,0.340,0.0568,0.000571,0.00331,0.0194,0.0318,0.00113,0.00103,0.00349,0,,,,,,,,,,,,,,0.000396,0.00530,0.0457,,,,0.0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0163,,0.00141
2023-12-12 15:52:00,12,0.00420,0.00736,0.156,0.184,0.0960,0.0373,0.406,0.0790,0.00102,0.00681,0.0313,0.0398,0.00159,0.00181,0.00310,0,,,,,,,,,,,,,,0.000865,0.00825,0.0368,,,,0.0280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0187,,0.00415
2023-12-12 15:54:00,12,0.00310,0.00936,0.173,0.257,0.0977,0.0336,0.419,0.0653,0.00242,0.00572,0.0369,0.0579,0.00254,0.00273,0.00442,0,,,,,,,,,,,,,,0.00101,0.0205,0.0713,,,,0.0321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0162,,0.00713
