sep=,
"Time","max capacity","alertmanager-kube-prometheus-stackr-alertmanager-0","camunda-platform-connectors-7d745cc4cd-lk6h4","camunda-platform-elasticsearch-master-0","camunda-platform-elasticsearch-master-1","camunda-platform-operate-745dd6ffbd-hd2s7","camunda-platform-tasklist-595f9975f6-62bbr","camunda-platform-zeebe-0","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8","console-worker-console-worker-chart-camunda-8-go-console-wfzxss","coredns-77ccd57875-qkp4q","kepler-8czsm","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb","kube-prometheus-stackr-operator-8f879775f-f2q87","kube-prometheus-stackr-prometheus-node-exporter-qw4m2","load-controller-5445f6d748-hgqvd","local-path-provisioner-957fdf8bc-jnlfw","metrics-server-648b5df564-msqlc","prometheus-kube-prometheus-stackr-prometheus-0","restworkerjava-86b6d57d68-z6cv2","restworkerjava-cb56d4547-dndnt","svclb-traefik-5671c552-795qx","test-responder-5768c7fbf7-9ppfr","traefik-768bdcdcdd-4f8ms"
2023-11-30 11:12:00,12,0.000171,0.00133,0.00755,0.00688,0.00228,0.00143,0.0786,0.0157,0.000192,0.00148,0.00887,0.00171,0.000158,0.0000901,0.00139,0.000866,0.000308,0.00330,0.0180,0.000620,,0,0.000541,0.000305
2023-11-30 11:14:00,12,0.000111,0.00127,0.00803,0.00657,0.00208,0.00137,0.0776,0.0153,0.000182,0.00151,0.00899,0.00121,0.000187,0.000152,0.00168,0.000507,0.000319,0.00307,0.0163,0.000539,,0,0.000524,0.000351
2023-11-30 11:16:00,12,0.000199,0.00184,0.0105,0.00827,0.00282,0.00245,0.0799,0.0154,0.000193,0.00149,0.00884,0.00388,0.000204,0.000172,0.00122,0.000557,0.000328,0.00293,0.0247,0.000610,,0,0.000536,0.000112
2023-11-30 11:18:00,12,0.000160,0.00145,0.00909,0.00686,0.00313,0.00153,0.0807,0.0157,0.000203,0.00178,0.00961,0.00410,0.000169,0.000168,0.00195,0.000495,0.000317,0.00287,0.0185,0.000662,,0,0.000566,0.000395
2023-11-30 11:20:00,12,0.000123,0.00129,0.00629,0.00695,0.00286,0.00122,0.0788,0.0154,0.000226,0.00146,0.00904,0.00219,0.000191,0.000104,0.00139,0.000510,0.000318,0.00305,0.0187,,0.000623,0,0.000539,0.0000993
2023-11-30 11:22:00,12,0.000210,0.00140,0.00565,0.00632,0.00241,0.00138,0.0787,0.0151,0.000221,0.00148,0.00787,0.00193,0.000182,0.0000860,0.00147,0.000526,0.000391,0.00299,0.0237,,0.000690,0,0.000538,0.0000987
2023-11-30 11:24:00,12,0.000152,0.00134,0.00596,0.00661,0.00221,0.00196,0.0788,0.0157,0.000214,0.00154,0.00886,0.00190,0.000256,0.0000839,0.00110,0.000525,0.000315,0.00290,0.0202,,0.000556,0,0.000528,0.0000932
2023-11-30 11:26:00,12,0.000172,0.00132,0.00701,0.00868,0.00308,0.00129,0.0798,0.0159,0.000229,0.00147,0.00912,0.00111,0.000171,0.0000368,0.00129,0.000531,0.000312,0.00272,0.0234,,0.000546,0,0.000529,0.000106
2023-11-30 11:28:00,12,0.000198,0.00616,0.00886,0.00642,0.00285,0.00236,0.0792,0.0163,0.000186,0.00153,0.00929,0.00403,0.000247,0.0000823,0.00107,0.000505,0.000435,0.00283,0.0214,,0.000566,0,0.000606,0.000109
2023-11-30 11:30:00,12,0.000160,0.00153,0.00869,0.00707,0.00217,0.00167,0.0795,0.0158,0.000206,0.00155,0.00861,0.00373,0.000153,0.0000841,0.00206,0.000529,0.000298,0.00287,0.0274,,0.000633,0,0.000518,0.000112
2023-11-30 11:32:00,12,0.000146,0.00127,0.00705,0.00983,0.00239,0.00189,0.0794,0.0153,0.000204,0.00160,0.00947,0.00314,0.000193,0.000104,0.00157,0.000540,0.000334,0.00262,0.0121,,0.000555,0,0.000529,0.0000879
2023-11-30 11:34:00,12,0.000171,0.00120,0.00684,0.00953,0.00520,0.00126,0.0796,0.0154,0.000200,0.00149,0.00863,0.00343,0.000170,0.000145,0.00166,0.000506,0.000342,0.00275,0.0105,,0.000522,0,0.000522,0.0000858
2023-11-30 11:36:00,12,0.000170,0.00147,0.00623,0.00679,0.00259,0.00158,0.0800,0.0158,0.000197,0.00152,0.0107,0.00150,0.0000921,0.000124,0.00239,0.000514,0.000333,0.00311,0.0106,,0.000525,0,0.000519,0.0000941
2023-11-30 11:38:00,12,0.000159,0.00134,0.00734,0.00653,0.00245,0.00294,0.0769,0.0150,0.000199,0.00145,0.00855,0.00169,0.000209,0.0000367,0.00208,0.000566,0.000377,0.00275,0.0109,,0.000523,0,0.000574,0.000111
2023-11-30 11:40:00,12,0.000166,0.00159,0.00666,0.0104,0.00257,0.00299,0.0832,0.0176,0.000208,0.00195,0.00943,0.00647,0.000234,0.0000786,0.00158,0.000574,0.000302,0.00304,0.0257,,0.000764,0,0.000673,0.000135

