sep=,
"Time","load-controller-5445f6d748-hgqvd / worker / PKG","restworkerjava-86b6d57d68-z6cv2 / worker / PKG","restworkerjava-cb56d4547-dndnt / worker / PKG","load-controller-5445f6d748-hgqvd / worker / DRAM","restworkerjava-86b6d57d68-z6cv2 / worker / DRAM","restworkerjava-cb56d4547-dndnt / worker / DRAM","load-controller-5445f6d748-hgqvd / worker / OTHER","restworkerjava-86b6d57d68-z6cv2 / worker / OTHER","restworkerjava-cb56d4547-dndnt / worker / OTHER"
2023-11-30 11:18:00,0.186,0.187,,0.0186,0.0186,,0,0,
2023-11-30 11:18:30,0.186,,,0.0184,,,0,,
2023-11-30 11:19:00,0.183,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:19:30,0.184,,0.202,0.0180,,0.0180,0,,0
2023-11-30 11:20:00,0.183,,0.185,0.0180,,0.0180,0,,0
2023-11-30 11:20:30,0.184,,0.187,0.0180,,0.0180,0,,0
2023-11-30 11:21:00,0.183,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:21:30,0.183,,0.185,0.0180,,0.0180,0,,0
2023-11-30 11:22:00,0.183,,0.184,0.0181,,0.0181,0,,0
2023-11-30 11:22:30,0.183,,0.185,0.0180,,0.0180,0,,0
2023-11-30 11:23:00,0.184,,0.185,0.0180,,0.0180,0,,0
2023-11-30 11:23:30,0.184,,0.185,0.0181,,0.0181,0,,0
2023-11-30 11:24:00,0.184,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:24:30,0.183,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:25:00,0.184,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:25:30,0.184,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:26:00,0.183,,0.183,0.0181,,0.0181,0,,0
2023-11-30 11:26:30,0.184,,0.185,0.0181,,0.0181,0,,0
2023-11-30 11:27:00,0.183,,0.183,0.0180,,0.0180,0,,0
2023-11-30 11:27:30,0.183,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:28:00,0.184,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:28:30,0.183,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:29:00,0.183,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:29:30,0.184,,0.184,0.0181,,0.0181,0,,0
2023-11-30 11:30:00,0.184,,0.184,0.0181,,0.0181,0,,0
2023-11-30 11:30:30,0.189,,0.190,0.0182,,0.0182,0,,0
2023-11-30 11:31:00,0.185,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:31:30,0.184,,0.184,0.0181,,0.0181,0,,0
2023-11-30 11:32:00,0.183,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:32:30,0.184,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:33:00,0.184,,0.183,0.0180,,0.0180,0,,0
2023-11-30 11:33:30,0.184,,0.184,0.0181,,0.0181,0,,0
2023-11-30 11:34:00,0.184,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:34:30,0.183,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:35:00,0.183,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:35:30,0.184,,0.184,0.0181,,0.0181,0,,0
2023-11-30 11:36:00,0.183,,0.183,0.0180,,0.0180,0,,0
2023-11-30 11:36:30,0.184,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:37:00,0.184,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:37:30,0.184,,0.184,0.0181,,0.0181,0,,0
2023-11-30 11:38:00,0.183,,0.184,0.0180,,0.0180,0,,0
2023-11-30 11:38:30,0.184,,0.184,0.0181,,0.0181,0,,0
2023-11-30 11:39:00,0.187,,0.187,0.0186,,0.0186,0,,0
2023-11-30 11:39:30,0.185,,0.186,0.0184,,0.0184,0,,0

