sep=,
"Time","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-5bc7c489c4-xvrhr / camunda8 / PKG","camunda-platform-tasklist-9968d5594-2rj85 / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5ff76496c4-wrsml / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-5bc7c489c4-xvrhr / camunda8 / DRAM","camunda-platform-tasklist-9968d5594-2rj85 / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5ff76496c4-wrsml / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-5bc7c489c4-xvrhr / camunda8 / OTHER","camunda-platform-tasklist-9968d5594-2rj85 / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5ff76496c4-wrsml / camunda8 / OTHER"
2024-02-16 11:22:00,0.409,0.409,0.203,0.200,0.335,0.223,0.0609,0.0360,0.0189,0.0174,0.0246,0.0276,0,0,0,0,0,0
2024-02-16 11:22:10,0.423,0.431,0.259,0.199,0.332,0.223,0.0354,0.0354,0.0177,0.0177,0.0177,0.0177,0,0,0,0,0,0
2024-02-16 11:22:20,0.538,0.524,0.265,0.256,0.545,0.304,0.0636,0.0636,0.0318,0.0318,0.0318,0.0318,0,0,0,0,0,0
2024-02-16 11:22:30,0.407,0.403,0.203,0.200,0.302,0.222,0.0366,0.0366,0.0183,0.0183,0.0183,0.0183,0,0,0,0,0,0
2024-02-16 11:22:40,0.401,0.404,0.205,0.199,0.288,0.214,0.0354,0.0354,0.0177,0.0177,0.0177,0.0177,0,0,0,0,0,0
2024-02-16 11:22:50,2.61,1.53,0.276,0.272,0.413,0.295,0.0516,0.0516,0.0258,0.0258,0.0258,0.0258,0,0,0,0,0,0
2024-02-16 11:23:00,4.93,1.33,0.204,0.202,0.401,0.237,0.0420,0.0420,0.0210,0.0210,0.0210,0.0210,0,0,0,0,0,0
2024-02-16 11:23:10,0.404,0.427,0.205,0.201,0.351,0.231,0.0360,0.0360,0.0180,0.0180,0.0180,0.0180,0,0,0,0,0,0
2024-02-16 11:23:20,0.540,0.544,0.271,0.268,0.420,0.294,0.0486,0.0486,0.0243,0.0243,0.0243,0.0243,0,0,0,0,0,0
2024-02-16 11:23:30,0.400,0.403,0.209,0.200,0.343,0.221,0.0354,0.0354,0.0177,0.0177,0.0177,0.0177,0,0,0,0,0,0
2024-02-16 11:23:40,0.405,0.404,0.204,0.200,0.299,0.226,0.0354,0.0354,0.0177,0.0177,0.0177,0.0177,0,0,0,0,0,0
2024-02-16 11:23:50,0.540,0.546,0.274,0.269,0.419,0.306,0.0480,0.0480,0.0240,0.0240,0.0240,0.0240,0,0,0,0,0,0
2024-02-16 11:24:00,0.401,0.417,0.206,0.202,0.335,0.227,0.0414,0.0414,0.0207,0.0207,0.0207,0.0207,0,0,0,0,0,0
