sep=,
"Time","CompleteJob (INTERNAL)","CompleteJob (NOT_FOUND)","CreateProcessInstance (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-14 18:43:00,,0,0,3.20,12.6,0,0,,0,,,15.8
2024-02-14 18:43:10,,0,0,3.30,11.2,0,0,,0,,,14.5
2024-02-14 18:43:20,,0,0,3,10.4,0.200,0,,0,,,13.6
2024-02-14 18:43:30,,0,0,3,11.2,0,0,,0,,,14.2
2024-02-14 18:43:40,,0,0,3.30,12.8,0,0,,0,,,16.1
2024-02-14 18:43:50,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 18:44:00,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 18:44:10,,0,0,2.80,11.2,0,0,,0,,,14
2024-02-14 18:44:20,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 18:44:30,,0,0,3.20,12.1,0,0,,0,,,15.3
2024-02-14 18:44:40,,0,0,3,11.9,0,0,,0,,,14.9
2024-02-14 18:44:50,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 18:45:00,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 18:45:10,,0,0,3.30,11.3,0,0,,0,,,14.6
2024-02-14 18:45:20,,0,0,2.60,9.50,0.200,0,,0,,,12.3
2024-02-14 18:45:30,,0,0,3.40,11.4,0,0,,0,,,14.8
2024-02-14 18:45:40,,0,0,2.80,12.6,0,0,,0,,,15.4
2024-02-14 18:45:50,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 18:46:00,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 18:46:10,,0,0,2.80,11.2,0,0,,0,,,14
2024-02-14 18:46:20,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 18:46:30,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:46:40,,0,0,3.50,11.2,0,0,,0,,,14.7
2024-02-14 18:46:50,,0,0,3.30,12.8,0,0,,0,,,16.1
2024-02-14 18:47:00,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:47:10,,0,0,3.30,12.8,0,0,,0,,,16.1
2024-02-14 18:47:20,,0,0,2,8,0.200,0,,0,,,10.2
2024-02-14 18:47:30,,0,0,3.80,11.4,0,0,,0,,,15.2
2024-02-14 18:47:40,,0,0,3.30,12.6,0,0,,0,,,15.9
2024-02-14 18:47:50,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:48:00,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 18:48:10,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 18:48:20,,0,0,3.60,11.3,0,0,,0,,,14.9
2024-02-14 18:48:30,,0,0,3.40,12.7,0,0,,0,,,16.1
2024-02-14 18:48:40,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 18:48:50,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:49:00,,0.700,0,3.40,11.2,0,0,,0,,,15.3
2024-02-14 18:49:10,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 18:49:20,,0,0,2.10,8,0.200,0,,0,,,10.3
2024-02-14 18:49:30,,0.700,0,3.30,12,0,0,,0,,,16
2024-02-14 18:49:40,,0,0,3.10,12.8,0,0,,0,,,15.9
2024-02-14 18:49:50,,0,0,3.10,12,0,0,,0,,,15.1
2024-02-14 18:50:00,,0,0,3.10,12,0,0,,0,,,15.1
2024-02-14 18:50:10,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:50:20,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:50:30,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:50:40,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:50:50,,0,0,3.10,11.2,0,0,,0,,,14.3
2024-02-14 18:51:00,,0,0,3.50,12.8,0,0,,0,,,16.3
