sep=,
"Time","worker"
2024-02-10 10:45:00,0
2024-02-10 10:45:10,0
2024-02-10 10:45:20,0
2024-02-10 10:45:30,0
2024-02-10 10:45:40,0
2024-02-10 10:45:50,0
2024-02-10 10:46:00,0
2024-02-10 10:46:10,0
2024-02-10 10:46:20,22.5
2024-02-10 10:46:30,25.5
2024-02-10 10:46:40,24
2024-02-10 10:46:50,23.4
2024-02-10 10:47:00,24.6
2024-02-10 10:47:10,24.8
2024-02-10 10:47:20,41.1
2024-02-10 10:47:30,48.6
2024-02-10 10:47:40,27.1
2024-02-10 10:47:50,22.4
2024-02-10 10:48:00,25.6
2024-02-10 10:48:10,22.4
2024-02-10 10:48:20,25.6
2024-02-10 10:48:30,25.6
2024-02-10 10:48:40,7.20
2024-02-10 10:48:50,0
2024-02-10 10:49:00,0
2024-02-10 10:49:10,0
2024-02-10 10:49:20,16
2024-02-10 10:49:30,23.2
2024-02-10 10:49:40,24.9
2024-02-10 10:49:50,21.5
2024-02-10 10:50:00,23.2
2024-02-10 10:50:10,24
2024-02-10 10:50:20,33.8
2024-02-10 10:50:30,48.6
2024-02-10 10:50:40,40
2024-02-10 10:50:50,22.5
2024-02-10 10:51:00,25.5
2024-02-10 10:51:10,25.6
2024-02-10 10:51:20,22.5
2024-02-10 10:51:30,25.5
2024-02-10 10:51:40,13.6
2024-02-10 10:51:50,0
2024-02-10 10:52:00,0
2024-02-10 10:52:10,0
2024-02-10 10:52:20,9.60
2024-02-10 10:52:30,24
2024-02-10 10:52:40,24
2024-02-10 10:52:50,25.6
2024-02-10 10:53:00,25.6
2024-02-10 10:53:10,22.4
2024-02-10 10:53:20,29.6
2024-02-10 10:53:30,45.7
2024-02-10 10:53:40,39.9
2024-02-10 10:53:50,24
2024-02-10 10:54:00,25.6
2024-02-10 10:54:10,22.5
2024-02-10 10:54:20,25.5
2024-02-10 10:54:30,24
2024-02-10 10:54:40,22.4
2024-02-10 10:54:50,0
2024-02-10 10:55:00,0
2024-02-10 10:55:10,0
2024-02-10 10:55:20,0.800
2024-02-10 10:55:30,23.3
2024-02-10 10:55:40,24.7
2024-02-10 10:55:50,25.6
2024-02-10 10:56:00,22.4
2024-02-10 10:56:10,22.8
2024-02-10 10:56:20,25.2
2024-02-10 10:56:30,48
2024-02-10 10:56:40,48
2024-02-10 10:56:50,25.7
2024-02-10 10:57:00,25.5
2024-02-10 10:57:10,23.2
2024-02-10 10:57:20,25.6
2024-02-10 10:57:30,24.8
2024-02-10 10:57:40,24
2024-02-10 10:57:50,0.800
2024-02-10 10:58:00,0
2024-02-10 10:58:10,0
2024-02-10 10:58:20,0
2024-02-10 10:58:30,16.9
2024-02-10 10:58:40,25.5
2024-02-10 10:58:50,24
2024-02-10 10:59:00,24.9
2024-02-10 10:59:10,23.3
2024-02-10 10:59:20,24.7
2024-02-10 10:59:30,38.8
2024-02-10 10:59:40,47.5
2024-02-10 10:59:50,31.2
2024-02-10 11:00:00,24.9
2024-02-10 11:00:10,23.9
2024-02-10 11:00:20,24.9
2024-02-10 11:00:30,25.5
2024-02-10 11:00:40,23.2
2024-02-10 11:00:50,11.2
2024-02-10 11:01:00,0
2024-02-10 11:01:10,0
2024-02-10 11:01:20,0
2024-02-10 11:01:30,10.4
2024-02-10 11:01:40,24.8
2024-02-10 11:01:50,24.9
2024-02-10 11:02:00,23.9
2024-02-10 11:02:10,25.6
2024-02-10 11:02:20,23.2
2024-02-10 11:02:30,31.2
2024-02-10 11:02:40,48
2024-02-10 11:02:50,37.7
2024-02-10 11:03:00,25.5
2024-02-10 11:03:10,24.1
2024-02-10 11:03:20,24.8
2024-02-10 11:03:30,24.7
2024-02-10 11:03:40,24
2024-02-10 11:03:50,17.6
2024-02-10 11:04:00,0
2024-02-10 11:04:10,0
2024-02-10 11:04:20,0
2024-02-10 11:04:30,1.70
2024-02-10 11:04:40,24.7
2024-02-10 11:04:50,25.6
2024-02-10 11:05:00,25.6
2024-02-10 11:05:10,22.4
2024-02-10 11:05:20,25.6
2024-02-10 11:05:30,22.4
2024-02-10 11:05:40,48
2024-02-10 11:05:50,47.2
2024-02-10 11:06:00,23.2
2024-02-10 11:06:10,24.9
2024-02-10 11:06:20,23.4
2024-02-10 11:06:30,25.3
2024-02-10 11:06:40,25.6
2024-02-10 11:06:50,23.3
2024-02-10 11:07:00,1.50
2024-02-10 11:07:10,0
2024-02-10 11:07:20,0
2024-02-10 11:07:30,0
2024-02-10 11:07:40,20
2024-02-10 11:07:50,24.9
2024-02-10 11:08:00,23.3
2024-02-10 11:08:10,25.4
2024-02-10 11:08:20,24.8
2024-02-10 11:08:30,23.2
2024-02-10 11:08:40,41.7
2024-02-10 11:08:50,46.3
2024-02-10 11:09:00,29.1
2024-02-10 11:09:10,24.5
2024-02-10 11:09:20,24.9
2024-02-10 11:09:30,24.3
2024-02-10 11:09:40,24.5
2024-02-10 11:09:50,24.1
2024-02-10 11:10:00,9.40
2024-02-10 11:10:10,0
2024-02-10 11:10:20,0
2024-02-10 11:10:30,0
2024-02-10 11:10:40,11.4
2024-02-10 11:10:50,24.6
2024-02-10 11:11:00,25.6
2024-02-10 11:11:10,23.2
2024-02-10 11:11:20,25.6
2024-02-10 11:11:30,22.8
2024-02-10 11:11:40,32.6
2024-02-10 11:11:50,47.8
2024-02-10 11:12:00,37.6
2024-02-10 11:12:10,23.4
2024-02-10 11:12:20,24.7
2024-02-10 11:12:30,23.2
2024-02-10 11:12:40,25.5
2024-02-10 11:12:50,24.8
2024-02-10 11:13:00,17.6
2024-02-10 11:13:10,0
2024-02-10 11:13:20,0
2024-02-10 11:13:30,0
2024-02-10 11:13:40,4
2024-02-10 11:13:50,25.6
2024-02-10 11:14:00,22.4
2024-02-10 11:14:10,25.6
2024-02-10 11:14:20,25.6
2024-02-10 11:14:30,25.6
2024-02-10 11:14:40,25.6
2024-02-10 11:14:50,46.4
2024-02-10 11:15:00,41.1
2024-02-10 11:15:10,25.3
2024-02-10 11:15:20,24.8
2024-02-10 11:15:30,24.9
2024-02-10 11:15:40,23.2
2024-02-10 11:15:50,25.5
2024-02-10 11:16:00,24.8
2024-02-10 11:16:10,0
2024-02-10 11:16:20,0
2024-02-10 11:16:30,0
2024-02-10 11:16:40,0
2024-02-10 11:16:50,22.4
2024-02-10 11:17:00,24
2024-02-10 11:17:10,25.5
2024-02-10 11:17:20,24.1
2024-02-10 11:17:30,24
2024-02-10 11:17:40,24
2024-02-10 11:17:50,42.5
2024-02-10 11:18:00,48.7
2024-02-10 11:18:10,27.2
2024-02-10 11:18:20,25.6
2024-02-10 11:18:30,22.4
2024-02-10 11:18:40,25.6
2024-02-10 11:18:50,23.2
2024-02-10 11:19:00,24.8
2024-02-10 11:19:10,6.40
2024-02-10 11:19:20,0
2024-02-10 11:19:30,0
2024-02-10 11:19:40,0
2024-02-10 11:19:50,13.6
2024-02-10 11:20:00,25.6
2024-02-10 11:20:10,22.4
2024-02-10 11:20:20,25.6
2024-02-10 11:20:30,25.6
2024-02-10 11:20:40,25.6
2024-02-10 11:20:50,31.4
2024-02-10 11:21:00,47.8
2024-02-10 11:21:10,36
2024-02-10 11:21:20,23.2
2024-02-10 11:21:30,24
2024-02-10 11:21:40,24.8
2024-02-10 11:21:50,24
2024-02-10 11:22:00,24
2024-02-10 11:22:10,16.8
2024-02-10 11:22:20,0
2024-02-10 11:22:30,0
2024-02-10 11:22:40,0
2024-02-10 11:22:50,4
2024-02-10 11:23:00,25.6
2024-02-10 11:23:10,24.9
2024-02-10 11:23:20,25.5
2024-02-10 11:23:30,25.6
2024-02-10 11:23:40,22.5
2024-02-10 11:23:50,26.4
2024-02-10 11:24:00,47.9
2024-02-10 11:24:10,41.1
2024-02-10 11:24:20,25.3
2024-02-10 11:24:30,25.6
2024-02-10 11:24:40,22.5
2024-02-10 11:24:50,25.5
2024-02-10 11:25:00,25.6
2024-02-10 11:25:10,22.4
2024-02-10 11:25:20,0
2024-02-10 11:25:30,0
2024-02-10 11:25:40,0
2024-02-10 11:25:50,0
2024-02-10 11:26:00,23.2
2024-02-10 11:26:10,25.6
2024-02-10 11:26:20,22.4
2024-02-10 11:26:30,25.6
2024-02-10 11:26:40,25.6
2024-02-10 11:26:50,23.2
2024-02-10 11:27:00,42.4
2024-02-10 11:27:10,46.4
2024-02-10 11:27:20,26.4
2024-02-10 11:27:30,24.9
2024-02-10 11:27:40,24.7
2024-02-10 11:27:50,24
2024-02-10 11:28:00,25.6
2024-02-10 11:28:10,24
2024-02-10 11:28:20,6.40
2024-02-10 11:28:30,0
2024-02-10 11:28:40,0
2024-02-10 11:28:50,0
2024-02-10 11:29:00,13.6
2024-02-10 11:29:10,25.6
2024-02-10 11:29:20,23.3
2024-02-10 11:29:30,25.5
2024-02-10 11:29:40,24
2024-02-10 11:29:50,25.6
2024-02-10 11:30:00,36
2024-02-10 11:30:10,51.3
2024-02-10 11:30:20,31.9
2024-02-10 11:30:30,25.6
2024-02-10 11:30:40,24.1
2024-02-10 11:30:50,23.9
2024-02-10 11:31:00,25.6
2024-02-10 11:31:10,22.4
2024-02-10 11:31:20,12
2024-02-10 11:31:30,0
2024-02-10 11:31:40,0
2024-02-10 11:31:50,0
2024-02-10 11:32:00,7.20
2024-02-10 11:32:10,25.6
2024-02-10 11:32:20,25.6
2024-02-10 11:32:30,24.2
2024-02-10 11:32:40,23.8
2024-02-10 11:32:50,25.6
2024-02-10 11:33:00,28.1
2024-02-10 11:33:10,45.6
2024-02-10 11:33:20,41.5
2024-02-10 11:33:30,24.8
2024-02-10 11:33:40,23.2
2024-02-10 11:33:50,25.6
2024-02-10 11:34:00,22.4
2024-02-10 11:34:10,25.6
2024-02-10 11:34:20,21.6
2024-02-10 11:34:30,0
2024-02-10 11:34:40,0
2024-02-10 11:34:50,0
2024-02-10 11:35:00,0.800
2024-02-10 11:35:10,23.2
2024-02-10 11:35:20,25.6
2024-02-10 11:35:30,23.2
2024-02-10 11:35:40,24.8
2024-02-10 11:35:50,25.6
2024-02-10 11:36:00,25.6
2024-02-10 11:36:10,44.9
