sep=,
"Time","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / PKG","camunda-platform-tasklist-9968d5594-9257r / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / DRAM","camunda-platform-tasklist-9968d5594-9257r / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / OTHER","camunda-platform-tasklist-9968d5594-9257r / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / OTHER"
2024-02-14 18:35:20,0.837,0.475,0.220,0.215,1.38,0.371,0.0420,0.0420,0.0210,0.0210,0.0210,0.0210,0,0,0,0,0,0
2024-02-14 18:35:30,2.61,0.589,0.333,0.300,1.43,0.396,0.0522,0.0522,0.0261,0.0261,0.0261,0.0261,0,0,0,0,0,0
2024-02-14 18:35:40,0.882,0.522,0.257,0.239,1.18,0.312,0.0378,0.0378,0.0189,0.0189,0.0189,0.0189,0,0,0,0,0,0
2024-02-14 18:35:50,0.648,0.472,0.356,0.272,1.86,0.317,0.0396,0.0396,0.0198,0.0198,0.0198,0.0198,0,0,0,0,0,0
2024-02-14 18:36:00,1.12,0.735,1.53,0.262,1.81,0.478,0.0522,0.0522,0.0261,0.0261,0.0261,0.0261,0,0,0,0,0,0
2024-02-14 18:36:10,1.59,0.458,0.724,0.288,1.12,0.368,0.0384,0.0384,0.0192,0.0192,0.0192,0.0192,0,0,0,0,0,0
2024-02-14 18:36:20,1.77,0.442,0.284,0.272,1.29,0.356,0.0384,0.0384,0.0192,0.0192,0.0192,0.0192,0,0,0,0,0,0
2024-02-14 18:36:30,1.13,0.787,0.685,0.252,1.77,0.786,0.0516,0.0516,0.0258,0.0258,0.0258,0.0258,0,0,0,0,0,0
2024-02-14 18:36:40,0.850,0.594,0.407,0.501,1.52,0.327,0.0390,0.0390,0.0195,0.0195,0.0195,0.0195,0,0,0,0,0,0
2024-02-14 18:36:50,0.684,0.592,0.321,0.281,2.17,0.426,0.0426,0.0426,0.0213,0.0213,0.0213,0.0213,0,0,0,0,0,0
2024-02-14 18:37:00,1.52,0.882,0.528,0.281,1.78,0.492,0.0528,0.0528,0.0264,0.0264,0.0264,0.0264,0,0,0,0,0,0
2024-02-14 18:37:10,1.25,0.482,0.286,0.230,0.955,0.353,0.0378,0.0378,0.0189,0.0189,0.0189,0.0189,0,0,0,0,0,0
2024-02-14 18:37:20,1.35,0.445,0.281,0.548,0.972,0.276,0.0432,0.0432,0.0216,0.0216,0.0216,0.0216,0,0,0,0,0,0
2024-02-14 18:37:30,0.996,0.826,0.344,0.293,1.27,0.548,0.0510,0.0510,0.0255,0.0255,0.0255,0.0255,0,0,0,0,0,0
2024-02-14 18:37:40,0.571,0.729,0.269,0.207,1.21,0.315,0.0372,0.0372,0.0186,0.0186,0.0186,0.0186,0,0,0,0,0,0
2024-02-14 18:37:50,0.742,0.793,0.725,0.243,0.944,0.322,0.0378,0.0378,0.0189,0.0189,0.0189,0.0189,0,0,0,0,0,0
2024-02-14 18:38:00,1.30,0.691,0.575,0.363,1.64,0.542,0.0510,0.0510,0.0255,0.0255,0.0255,0.0255,0,0,0,0,0,0
2024-02-14 18:38:10,0.624,0.500,0.248,0.218,1.24,0.298,0.0372,0.0372,0.0186,0.0186,0.0186,0.0186,0,0,0,0,0,0
2024-02-14 18:38:20,0.634,0.522,0.234,0.225,1.40,0.374,0.0372,0.0372,0.0186,0.0186,0.0186,0.0186,0,0,0,0,0,0
2024-02-14 18:38:30,2.08,0.774,0.410,0.947,1.36,0.456,0.0516,0.0516,0.0258,0.0258,0.0258,0.0258,0,0,0,0,0,0
2024-02-14 18:38:40,0.588,0.828,0.271,0.198,1.33,0.319,0.0372,0.0372,0.0186,0.0186,0.0186,0.0186,0,0,0,0,0,0
2024-02-14 18:38:50,0.728,0.438,0.320,0.296,1.18,0.513,0.0390,0.0390,0.0195,0.0195,0.0195,0.0195,0,0,0,0,0,0
2024-02-14 18:39:00,0.868,0.935,0.355,0.314,1.46,0.395,0.0516,0.0516,0.0258,0.0258,0.0258,0.0258,0,0,0,0,0,0
2024-02-14 18:39:10,1.43,0.374,0.258,0.213,0.721,0.246,0.0375,0.0363,0.0192,0.0189,0.0192,0.0180,0,0,0,0,0,0
2024-02-14 18:39:20,1.09,0.421,0.250,0.196,1.03,0.248,0.0411,0.0456,0.0195,0.0228,0.0363,0.0234,0,0,0,0,0,0
2024-02-14 18:39:30,1.57,0.568,0.295,0.249,1.16,0.348,0.0618,0.0675,0.0321,0.0261,0.0519,0.0291,0,0,0,0,0,0
2024-02-14 18:39:40,1.33,0.848,0.253,0.236,0.876,0.812,0.0357,0.0402,0.0213,0.0171,0.0354,0.0234,0,0,0,0,0,0
2024-02-14 18:39:50,0.548,0.635,1.01,0.265,1.60,0.293,0.0405,0.0393,0.0411,0.0186,0.0324,0.0216,0,0,0,0,0,0
2024-02-14 18:40:00,2.45,0.609,0.341,0.281,1.19,0.392,0.0666,0.0468,0.0243,0.0255,0.0384,0.0261,0,0,0,0,0,0
2024-02-14 18:40:10,0.737,0.566,0.316,0.224,1.08,0.299,0.0525,0.0357,0.0204,0.0183,0.0282,0.0210,0,0,0,0,0,0
2024-02-14 18:40:20,0.917,0.437,0.318,0.261,1.73,0.278,0.0492,0.0390,0.0198,0.0189,0.0390,0.0204,0,0,0,0,0,0
2024-02-14 18:40:30,0.944,1.01,0.357,0.405,1.44,0.396,0.0591,0.0627,0.0264,0.0240,0.0423,0.0264,0,0,0,0,0,0
2024-02-14 18:40:40,0.933,0.455,0.222,0.228,1.11,0.387,0.0447,0.0354,0.0213,0.0180,0.0324,0.0198,0,0,0,0,0,0
2024-02-14 18:40:50,1.06,0.506,0.272,0.265,1.34,0.309,0.0564,0.0420,0.0213,0.0177,0.0324,0.0228,0,0,0,0,0,0
2024-02-14 18:41:00,0.911,1.23,0.431,0.260,1.87,0.392,0.0570,0.0717,0.0279,0.0237,0.0447,0.0303,0,0,0,0,0,0
2024-02-14 18:41:10,0.518,0.808,0.303,0.212,1.08,0.311,0.0441,0.0465,0.0174,0.0180,0.0270,0.0204,0,0,0,0,0,0
2024-02-14 18:41:20,0.709,0.410,0.287,0.193,0.937,0.268,0.0426,0.0372,0.0213,0.0180,0.0312,0.0222,0,0,0,0,0,0
2024-02-14 18:41:30,2.71,0.563,0.274,0.321,1.28,0.349,0.0603,0.0549,0.0237,0.0261,0.0375,0.0255,0,0,0,0,0,0
2024-02-14 18:41:40,0.962,1.37,0.337,0.204,1.00,0.298,0.0408,0.0531,0.0183,0.0189,0.0291,0.0225,0,0,0,0,0,0
2024-02-14 18:41:50,1.12,0.425,0.301,0.199,1.27,0.347,0.0420,0.0453,0.0198,0.0192,0.0357,0.0201,0,0,0,0,0,0
2024-02-14 18:42:00,0.797,0.736,0.385,0.332,1.73,0.414,0.0537,0.0573,0.0243,0.0258,0.0462,0.0270,0,0,0,0,0,0
2024-02-14 18:42:10,1.07,0.438,0.288,0.287,1.07,0.308,0.0456,0.0396,0.0186,0.0177,0.0303,0.0195,0,0,0,0,0,0
2024-02-14 18:42:20,0.791,0.875,0.304,0.205,0.982,0.271,0.0405,0.0384,0.0180,0.0192,0.0330,0.0210,0,0,0,0,0,0
2024-02-14 18:42:30,1.67,1.16,0.349,0.288,1.13,0.357,0.0645,0.0504,0.0249,0.0255,0.0336,0.0273,0,0,0,0,0,0
2024-02-14 18:42:40,0.603,0.480,0.230,0.250,1.27,0.339,0.0468,0.0336,0.0168,0.0180,0.0261,0.0210,0,0,0,0,0,0
2024-02-14 18:42:50,0.595,0.449,0.239,0.215,0.945,0.292,0.0498,0.0351,0.0177,0.0183,0.0324,0.0219,0,0,0,0,0,0
2024-02-14 18:43:00,1.17,0.590,0.344,0.359,1.41,0.621,0.0699,0.0537,0.0231,0.0234,0.0474,0.0258,0,0,0,0,0,0
2024-02-14 18:43:10,0.516,0.522,0.196,0.271,1.05,0.366,0.0489,0.0363,0.0192,0.0171,0.0309,0.0204,0,0,0,0,0,0
2024-02-14 18:43:20,0.553,0.411,0.214,0.200,0.749,0.252,0.0447,0.0384,0.0189,0.0171,0.0303,0.0204,0,0,0,0,0,0
2024-02-14 18:43:30,0.979,0.850,0.359,0.262,1.33,0.359,0.0603,0.0630,0.0273,0.0234,0.0489,0.0294,0,0,0,0,0,0
2024-02-14 18:43:40,0.743,0.416,0.238,0.644,0.942,0.272,0.0429,0.0450,0.0177,0.0177,0.0261,0.0183,0,0,0,0,0,0
2024-02-14 18:43:50,0.578,0.440,0.262,0.228,0.929,0.267,0.0408,0.0369,0.0183,0.0174,0.0315,0.0201,0,0,0,0,0,0
2024-02-14 18:44:00,1.15,0.665,0.363,0.315,1.78,0.391,0.0657,0.0483,0.0249,0.0249,0.0363,0.0276,0,0,0,0,0,0
2024-02-14 18:44:10,0.751,0.439,0.280,0.283,1.38,0.299,0.0432,0.0393,0.0180,0.0189,0.0306,0.0198,0,0,0,0,0,0
2024-02-14 18:44:20,0.953,0.424,0.349,0.216,1.28,0.360,0.0429,0.0441,0.0183,0.0180,0.0303,0.0213,0,0,0,0,0,0
2024-02-14 18:44:30,0.851,0.705,0.314,0.439,1.35,0.380,0.0606,0.0474,0.0261,0.0252,0.0378,0.0270,0,0,0,0,0,0
2024-02-14 18:44:40,0.767,0.515,0.325,0.343,1.18,0.341,0.0489,0.0369,0.0195,0.0213,0.0324,0.0201,0,0,0,0,0,0
2024-02-14 18:44:50,1.11,0.629,0.357,0.231,1.14,0.316,0.0507,0.0396,0.0201,0.0174,0.0345,0.0249,0,0,0,0,0,0
2024-02-14 18:45:00,1.25,1.22,0.447,0.323,1.46,0.407,0.0648,0.0546,0.0258,0.0264,0.0453,0.0285,0,0,0,0,0,0
2024-02-14 18:45:10,0.818,0.431,0.246,0.210,0.831,0.352,0.0411,0.0396,0.0192,0.0183,0.0297,0.0216,0,0,0,0,0,0
2024-02-14 18:45:20,0.604,0.438,0.552,0.201,0.785,0.259,0.0435,0.0492,0.0180,0.0174,0.0294,0.0195,0,0,0,0,0,0
2024-02-14 18:45:30,0.831,0.592,0.376,0.295,1.47,0.438,0.0588,0.0519,0.0279,0.0255,0.0489,0.0312,0,0,0,0,0,0
2024-02-14 18:45:40,0.507,0.661,0.417,0.238,1.03,0.283,0.0441,0.0405,0.0201,0.0177,0.0285,0.0204,0,0,0,0,0,0
2024-02-14 18:45:50,1.23,0.468,0.256,0.196,0.967,0.296,0.0429,0.0372,0.0189,0.0174,0.0276,0.0195,0,0,0,0,0,0
2024-02-14 18:46:00,0.813,0.566,0.341,0.352,1.66,0.393,0.0576,0.0489,0.0264,0.0252,0.0375,0.0267,0,0,0,0,0,0
2024-02-14 18:46:10,0.722,0.426,0.284,0.226,0.976,0.259,0.0429,0.0369,0.0183,0.0174,0.0270,0.0195,0,0,0,0,0,0
2024-02-14 18:46:20,0.535,0.990,0.181,0.242,0.955,0.242,0.0438,0.0405,0.0195,0.0180,0.0279,0.0198,0,0,0,0,0,0
2024-02-14 18:46:30,1.01,0.722,0.445,0.324,1.51,0.464,0.0558,0.0540,0.0255,0.0237,0.0423,0.0270,0,0,0,0,0,0
2024-02-14 18:46:40,0.716,0.427,0.275,0.202,1.10,0.312,0.0417,0.0354,0.0189,0.0174,0.0315,0.0195,0,0,0,0,0,0
2024-02-14 18:46:50,0.659,0.437,0.316,0.238,0.972,0.280,0.0429,0.0390,0.0198,0.0183,0.0342,0.0210,0,0,0,0,0,0
