sep=,
"Time","CompleteJob (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-17 22:50:00,0,0,0,0,0,,0,0,,0.0182
2024-02-17 22:50:10,0,0,0,0,0,,0,0,,0.0182
2024-02-17 22:50:20,0,0,0,0,0,,0,0,,0.0182
2024-02-17 22:50:30,0,0,0,0,0,,0,0,,0.00909
2024-02-17 22:50:40,0,0,0,0,0,,0,0,,0.00909
2024-02-17 22:50:50,0,0,0,0,0,,0,0,,0.00909
2024-02-17 22:51:00,0,0,0,0,0,,0,0,,0.00909
2024-02-17 22:51:10,0,0,0,0,0,,0,0,,0.00909
2024-02-17 22:51:20,0,0.100,0,0,0,,0,0,,0.0182
2024-02-17 22:51:30,0,0,0,0,0,,0,0,,0.00909
2024-02-17 22:51:40,0,0,0,0,0,,0,0,,0.00909
2024-02-17 22:51:50,0,0,0,0,0,,0,0,,0.00909
2024-02-17 22:52:00,0,0,0,0,0,,0,0,,0.00909
2024-02-17 22:52:10,0,4.90,4.80,0.200,0,,0,0,,0.909
2024-02-17 22:52:20,0,11.9,12,0,0,,0,0,,3.08
2024-02-17 22:52:30,0,12.7,12.1,0,0,,0,0,,5.34
2024-02-17 22:52:40,0,11.4,11.9,0,0,,0,0,,7.45
2024-02-17 22:52:50,0,12.7,12.8,0,0,,0,0,,9.77
2024-02-17 22:53:00,0,11.2,11.2,0,0,,0,0,,11.8
2024-02-17 22:53:10,0,12.8,12.8,0,0,,0,0,,14.1
2024-02-17 22:53:20,0,12.8,12.8,0,0,,0,0,,16.5
2024-02-17 22:53:30,0,11.2,11.2,0,0,,0,0,,18.5
2024-02-17 22:53:40,0,12.8,12.6,0,0,,0,0,,20.8
2024-02-17 22:53:50,0,12,11.5,0,0,,0,0,,22.9
2024-02-17 22:54:00,0,12,12.7,0,0,,0,0,,24.3
