sep=,
"Time","restworkerjava-5c575459f9-sx582 / worker / PKG","restworkerjava-69696875f9-hsbkr / worker / PKG","restworkerjava-698c49cff-vqd6b / worker / PKG","restworkerjava-865c45bdb4-r7jm4 / worker / PKG","restworkerjava-5c575459f9-sx582 / worker / DRAM","restworkerjava-69696875f9-hsbkr / worker / DRAM","restworkerjava-698c49cff-vqd6b / worker / DRAM","restworkerjava-865c45bdb4-r7jm4 / worker / DRAM","restworkerjava-5c575459f9-sx582 / worker / OTHER","restworkerjava-69696875f9-hsbkr / worker / OTHER","restworkerjava-698c49cff-vqd6b / worker / OTHER","restworkerjava-865c45bdb4-r7jm4 / worker / OTHER"
2024-02-17 23:04:10,,,0.214,,,,0.0210,,,,0,
2024-02-17 23:04:20,,,0.250,,,,0.0249,,,,0,
2024-02-17 23:04:30,,,0.306,,,,0.0336,,,,0,
2024-02-17 23:04:40,,,0.269,,,,0.0216,,,,0,
2024-02-17 23:04:50,,,0.511,,,,0.0231,,,,0,
2024-02-17 23:05:00,,,0.463,,,,0.0273,,,,0,
2024-02-17 23:05:10,,,0.208,,,,0.0207,,,,0,
2024-02-17 23:05:20,,,0.210,,,,0.0210,,,,0,
2024-02-17 23:05:30,,,0.307,,,,0.0267,,,,0,
2024-02-17 23:05:40,,,0.230,,,,0.0213,,,,0,
2024-02-17 23:05:50,,,0.260,,,,0.0222,,,,0,
2024-02-17 23:06:00,,,0.301,,,,0.0297,,,,0,
2024-02-17 23:06:10,,,0.226,,,,0.0204,,,,0,
2024-02-17 23:06:20,,,0.234,,,,0.0222,,,,0,
2024-02-17 23:06:30,,,0.358,,,,0.0291,,,,0,
2024-02-17 23:06:40,,,0.217,,,,0.0210,,,,0,
2024-02-17 23:06:50,,,0.213,,,,0.0201,,,,0,
2024-02-17 23:07:00,,,0.287,,,,0.0270,,,,0,
2024-02-17 23:07:10,,,0.209,,,,0.0210,,,,0,
2024-02-17 23:07:20,,,0.238,,,,0.0216,,,,0,
2024-02-17 23:07:30,,,0.283,,,,0.0270,,,,0,
2024-02-17 23:07:40,,,0.226,,,,0.0210,,,,0,
2024-02-17 23:07:50,,,0.333,,,,0.0237,,,,0,
2024-02-17 23:08:00,,,0.290,,,,0.0288,,,,0,
2024-02-17 23:08:10,,,0.223,,,,0.0210,,,,0,
2024-02-17 23:08:20,,,0.275,,,,0.0204,,,,0,
2024-02-17 23:08:30,,,0.292,,,,0.0291,,,,0,
2024-02-17 23:08:40,,,0.225,,,,0.0213,,,,0,
2024-02-17 23:08:50,,,0.219,,,,0.0201,,,,0,
2024-02-17 23:09:00,,,0.294,,,,0.0267,,,,0,
2024-02-17 23:09:10,,,0.231,,,,0.0201,,,,0,
2024-02-17 23:09:20,,,0.217,,,,0.0213,,,,0,
2024-02-17 23:09:30,,,0.297,,,,0.0267,,,,0,
2024-02-17 23:09:40,,,0.205,,,,0.0207,,,,0,
2024-02-17 23:09:50,,,0.233,,,,0.0213,,,,0,
2024-02-17 23:10:00,,,0.370,,,,0.0306,,,,0,
2024-02-17 23:10:10,,,0.213,,,,0.0201,,,,0,
2024-02-17 23:10:20,,,0.203,,,,0.0207,,,,0,
2024-02-17 23:10:30,,,0.299,,,,0.0309,,,,0,
2024-02-17 23:10:40,,,0.287,,,,0.0219,,,,0,
2024-02-17 23:10:50,,,0.219,,,,0.0213,,,,0,
2024-02-17 23:11:00,,,0.495,,,,0.0285,,,,0,
2024-02-17 23:11:10,,,0.250,,,,0.0198,,,,0,
2024-02-17 23:11:20,,,0.212,,,,0.0201,,,,0,
2024-02-17 23:11:30,,,0.299,,,,0.0273,,,,0,
2024-02-17 23:11:40,,,0.235,,,,0.0213,,,,0,
2024-02-17 23:11:50,,,0.238,,,,0.0210,,,,0,
2024-02-17 23:12:00,,,0.296,,,,0.0300,,,,0,
2024-02-17 23:12:10,,,0.232,,,,0.0204,,,,0,
2024-02-17 23:12:20,,,0.206,,,,0.0201,,,,0,
2024-02-17 23:12:30,,,0.298,,,,0.0312,,,,0,
2024-02-17 23:12:40,,,0.227,,,,0.0213,,,,0,
2024-02-17 23:12:50,,,0.221,,,,0.0210,,,,0,
2024-02-17 23:13:00,,,0.293,,,,0.0279,,,,0,
2024-02-17 23:13:10,,,0.209,,,,0.0210,,,,0,
2024-02-17 23:13:20,,,0.208,,,,0.0210,,,,0,
2024-02-17 23:13:30,,,0.289,,,,0.0270,,,,0,
2024-02-17 23:13:40,,,0.243,,,,0.0201,,,,0,
2024-02-17 23:13:50,,,0.217,,,,0.0204,,,,0,
2024-02-17 23:14:00,,,0.304,,,,0.0294,,,,0,
2024-02-17 23:14:10,,,0.227,,,,0.0204,,,,0,
2024-02-17 23:14:20,,,0.217,,,,0.0210,,,,0,
2024-02-17 23:14:30,,,0.311,,,,0.0309,,,,0,
2024-02-17 23:14:40,,,0.234,,,,0.0213,,,,0,
2024-02-17 23:14:50,,,0.220,,,,0.0216,,,,0,
2024-02-17 23:15:00,,,0.284,,,,0.0276,,,,0,
2024-02-17 23:15:10,,,0.222,,,,0.0210,,,,0,
2024-02-17 23:15:20,,,0.219,,,,0.0222,,,,0,
2024-02-17 23:15:30,,,0.305,,,,0.0285,,,,0,
2024-02-17 23:15:40,,,0.216,,,,0.0210,,,,0,
2024-02-17 23:15:50,,,0.226,,,,0.0216,,,,0,
2024-02-17 23:16:00,,,0.291,,,,0.0279,,,,0,
2024-02-17 23:16:10,,,0.216,,,,0.0219,,,,0,
2024-02-17 23:16:20,,,0.204,,,,0.0210,,,,0,
2024-02-17 23:16:30,,,0.281,,,,0.0270,,,,0,
2024-02-17 23:16:40,,,0.221,,,,0.0213,,,,0,
2024-02-17 23:16:50,,,0.203,,,,0.0210,,,,0,
2024-02-17 23:17:00,,,0.303,,,,0.0318,,,,0,
2024-02-17 23:17:10,,,0.229,,,,0.0234,,,,0,
2024-02-17 23:17:20,,,0.226,,,,0.0210,,,,0,
2024-02-17 23:17:30,,,0.308,,,,0.0279,,,,0,
2024-02-17 23:17:40,,,0.218,,,,0.0207,,,,0,
2024-02-17 23:17:50,,,0.220,,,,0.0213,,,,0,
