sep=,
"Time","restworkerjava-586c6d968c-rnl6d / worker / PKG","restworkerjava-6645c55fc5-nrl9d / worker / PKG","restworkerjava-6c74555757-v7cqd / worker / PKG","restworkerjava-84544b4f5-dcldx / worker / PKG","restworkerjava-586c6d968c-rnl6d / worker / DRAM","restworkerjava-6645c55fc5-nrl9d / worker / DRAM","restworkerjava-6c74555757-v7cqd / worker / DRAM","restworkerjava-84544b4f5-dcldx / worker / DRAM","restworkerjava-586c6d968c-rnl6d / worker / OTHER","restworkerjava-6645c55fc5-nrl9d / worker / OTHER","restworkerjava-6c74555757-v7cqd / worker / OTHER","restworkerjava-84544b4f5-dcldx / worker / OTHER"
2024-02-16 11:36:10,,0.226,,,,0.0231,,,,0,,
2024-02-16 11:36:20,,0.307,,,,0.0261,,,,0,,
2024-02-16 11:36:30,,0.223,,,,0.0192,,,,0,,
2024-02-16 11:36:40,,0.222,,,,0.0180,,,,0,,
2024-02-16 11:36:50,,0.292,,,,0.0246,,,,0,,
2024-02-16 11:37:00,,0.245,,,,0.0198,,,,0,,
2024-02-16 11:37:10,,0.217,,,,0.0180,,,,0,,
2024-02-16 11:37:20,,0.293,,,,0.0264,,,,0,,
2024-02-16 11:37:30,,0.222,,,,0.0189,,,,0,,
2024-02-16 11:37:40,,0.218,,,,0.0186,,,,0,,
2024-02-16 11:37:50,,0.288,,,,0.0243,,,,0,,
2024-02-16 11:38:00,,0.216,,,,0.0195,,,,0,,
2024-02-16 11:38:10,,0.219,,,,0.0252,,,,0,,
2024-02-16 11:38:20,,0.286,,,,0.0294,,,,0,,
2024-02-16 11:38:30,,0.218,,,,0.0201,,,,0,,
2024-02-16 11:38:40,,0.220,,,,0.0183,,,,0,,
2024-02-16 11:38:50,,0.302,,,,0.0264,,,,0,,
2024-02-16 11:39:00,,0.222,,,,0.0201,,,,0,,
2024-02-16 11:39:10,,0.216,,,,0.0189,,,,0,,
2024-02-16 11:39:20,,0.296,,,,0.0276,,,,0,,
2024-02-16 11:39:30,,0.231,,,,0.0195,,,,0,,
