sep=,
"Time","restworkerjava-58d6f48b94-rbd6b / worker / PKG","restworkerjava-7885b99b5f-9mrn5 / worker / PKG","restworkerjava-85d7c5b9df-wpdkg / worker / PKG","restworkerjava-58d6f48b94-rbd6b / worker / DRAM","restworkerjava-7885b99b5f-9mrn5 / worker / DRAM","restworkerjava-85d7c5b9df-wpdkg / worker / DRAM","restworkerjava-58d6f48b94-rbd6b / worker / OTHER","restworkerjava-7885b99b5f-9mrn5 / worker / OTHER","restworkerjava-85d7c5b9df-wpdkg / worker / OTHER"
2024-02-10 11:01:10,0.121,,,0.0177,,,0,,
2024-02-10 11:01:20,0.120,,,0.0177,,,0,,
2024-02-10 11:01:30,0.254,,,0.0315,,,0,,
2024-02-10 11:01:40,0.182,,,0.0198,,,0,,
2024-02-10 11:01:50,0.180,,,0.0189,,,0,,
2024-02-10 11:02:00,0.291,,,0.0264,,,0,,
2024-02-10 11:02:10,0.233,,,0.0198,,,0,,
2024-02-10 11:02:20,0.218,,,0.0192,,,0,,
2024-02-10 11:02:30,0.320,,,0.0294,,,0,,
2024-02-10 11:02:40,0.224,,,0.0210,,,0,,
2024-02-10 11:02:50,0.454,,,0.0201,,,0,,
2024-02-10 11:03:00,0.256,,,0.0264,,,0,,
2024-02-10 11:03:10,0.193,,,0.0198,,,0,,
2024-02-10 11:03:20,0.192,,,0.0198,,,0,,
2024-02-10 11:03:30,0.250,,,0.0270,,,0,,
2024-02-10 11:03:40,0.241,,,0.0201,,,0,,
2024-02-10 11:03:50,0.155,,,0.0186,,,0,,
2024-02-10 11:04:00,0.161,,,0.0243,,,0,,
2024-02-10 11:04:10,0.121,,,0.0180,,,0,,
2024-02-10 11:04:20,0.122,,,0.0177,,,0,,
2024-02-10 11:04:30,0.229,,,0.0264,,,0,,
2024-02-10 11:04:40,0.416,,,0.0201,,,0,,
2024-02-10 11:04:50,0.180,,,0.0186,,,0,,
2024-02-10 11:05:00,0.255,,,0.0255,,,0,,
2024-02-10 11:05:10,0.185,,,0.0192,,,0,,
2024-02-10 11:05:20,0.195,,,0.0189,,,0,,
2024-02-10 11:05:30,0.278,,,0.0285,,,0,,
2024-02-10 11:05:40,0.243,,,0.0207,,,0,,
2024-02-10 11:05:50,0.211,,,0.0198,,,0,,
2024-02-10 11:06:00,0.265,,,0.0276,,,0,,
2024-02-10 11:06:10,0.283,,,0.0195,,,0,,
2024-02-10 11:06:20,0.223,,,0.0198,,,0,,
2024-02-10 11:06:30,0.270,,,0.0267,,,0,,
2024-02-10 11:06:40,0.202,,,0.0192,,,0,,
2024-02-10 11:06:50,0.169,,,0.0189,,,0,,
2024-02-10 11:07:00,0.161,,,0.0237,,,0,,
2024-02-10 11:07:10,0.121,,,0.0177,,,0,,
2024-02-10 11:07:20,0.123,,,0.0189,,,0,,
2024-02-10 11:07:30,0.196,,,0.0255,,,0,,
2024-02-10 11:07:40,0.182,,,0.0195,,,0,,
2024-02-10 11:07:50,0.196,,,0.0195,,,0,,
2024-02-10 11:08:00,0.307,,,0.0270,,,0,,
2024-02-10 11:08:10,0.196,,,0.0195,,,0,,
2024-02-10 11:08:20,0.173,,,0.0195,,,0,,
2024-02-10 11:08:30,0.260,,,0.0276,,,0,,
2024-02-10 11:08:40,0.223,,,0.0222,,,0,,
2024-02-10 11:08:50,0.243,,,0.0204,,,0,,
2024-02-10 11:09:00,0.269,,,0.0261,,,0,,
2024-02-10 11:09:10,0.180,,,0.0195,,,0,,
2024-02-10 11:09:20,0.204,,,0.0189,,,0,,
2024-02-10 11:09:30,0.258,,,0.0264,,,0,,
2024-02-10 11:09:40,0.209,,,0.0198,,,0,,
2024-02-10 11:09:50,0.172,,,0.0186,,,0,,
2024-02-10 11:10:00,0.164,,,0.0252,,,0,,
2024-02-10 11:10:10,0.123,,,0.0183,,,0,,
2024-02-10 11:10:20,0.121,,,0.0177,,,0,,
2024-02-10 11:10:30,0.165,,,0.0246,,,0,,
2024-02-10 11:10:40,0.191,,,0.0207,,,0,,
2024-02-10 11:10:50,0.169,,,0.0189,,,0,,
2024-02-10 11:11:00,0.287,,,0.0252,,,0,,
2024-02-10 11:11:10,0.212,,,0.0195,,,0,,
2024-02-10 11:11:20,0.209,,,0.0189,,,0,,
2024-02-10 11:11:30,0.231,,,0.0261,,,0,,
2024-02-10 11:11:40,0.233,,,0.0225,,,0,,
2024-02-10 11:11:50,0.233,,,0.0207,,,0,,
2024-02-10 11:12:00,0.254,,,0.0267,,,0,,
2024-02-10 11:12:10,0.198,,,0.0198,,,0,,
2024-02-10 11:12:20,0.190,,,0.0189,,,0,,
2024-02-10 11:12:30,0.284,,,0.0258,,,0,,
2024-02-10 11:12:40,0.213,,,0.0204,,,0,,
2024-02-10 11:12:50,0.197,,,0.0195,,,0,,
2024-02-10 11:13:00,0.185,,,0.0249,,,0,,
2024-02-10 11:13:10,0.119,,,0.0177,,,0,,
2024-02-10 11:13:20,0.120,,,0.0177,,,0,,
2024-02-10 11:13:30,0.162,,,0.0240,,,0,,
2024-02-10 11:13:40,0.167,,,0.0201,,,0,,
2024-02-10 11:13:50,0.226,,,0.0198,,,0,,
2024-02-10 11:14:00,0.252,,,0.0270,,,0,,
2024-02-10 11:14:10,0.208,,,0.0189,,,0,,
2024-02-10 11:14:20,0.187,,,0.0192,,,0,,
2024-02-10 11:14:30,0.262,,,0.0255,,,0,,
2024-02-10 11:14:40,0.214,,,0.0216,,,0,,
2024-02-10 11:14:50,0.254,,,0.0210,,,0,,
2024-02-10 11:15:00,0.287,,,0.0261,,,0,,
2024-02-10 11:15:10,0.187,,,0.0192,,,0,,
2024-02-10 11:15:20,0.187,,,0.0195,,,0,,
2024-02-10 11:15:30,0.256,,,0.0258,,,0,,
2024-02-10 11:15:40,0.203,,,0.0195,,,0,,
2024-02-10 11:15:50,0.182,,,0.0198,,,0,,
2024-02-10 11:16:00,0.205,,,0.0258,,,0,,
2024-02-10 11:16:10,0.121,,,0.0180,,,0,,
2024-02-10 11:16:20,0.121,,,0.0180,,,0,,
2024-02-10 11:16:30,0.164,,,0.0240,,,0,,
2024-02-10 11:16:40,0.152,,,0.0198,,,0,,
2024-02-10 11:16:50,0.195,,,0.0201,,,0,,
2024-02-10 11:17:00,0.250,,,0.0252,,,0,,
2024-02-10 11:17:10,0.183,,,0.0186,,,0,,
2024-02-10 11:17:20,0.188,,,0.0189,,,0,,
2024-02-10 11:17:30,0.265,,,0.0249,,,0,,
2024-02-10 11:17:40,0.209,,,0.0210,,,0,,
2024-02-10 11:17:50,0.231,,,0.0219,,,0,,
2024-02-10 11:18:00,0.302,,,0.0279,,,0,,
2024-02-10 11:18:10,0.184,,,0.0201,,,0,,
2024-02-10 11:18:20,0.188,,,0.0192,,,0,,
2024-02-10 11:18:30,0.250,,,0.0252,,,0,,
2024-02-10 11:18:40,0.167,,,0.0192,,,0,,
2024-02-10 11:18:50,0.213,,,0.0204,,,0,,
2024-02-10 11:19:00,0.247,,,0.0255,,,0,,
2024-02-10 11:19:10,0.120,,,0.0177,,,0,,
2024-02-10 11:19:20,0.126,,,0.0180,,,0,,
2024-02-10 11:19:30,0.172,,,0.0240,,,0,,
2024-02-10 11:19:40,0.125,,,0.0180,,,0,,
2024-02-10 11:19:50,0.184,,,0.0201,,,0,,
2024-02-10 11:20:00,0.272,,,0.0270,,,0,,
2024-02-10 11:20:10,0.187,,,0.0192,,,0,,
2024-02-10 11:20:20,0.176,,,0.0186,,,0,,
2024-02-10 11:20:30,0.258,,,0.0252,,,0,,
2024-02-10 11:20:40,0.181,,,0.0186,,,0,,
2024-02-10 11:20:50,0.241,,,0.0222,,,0,,
2024-02-10 11:21:00,0.326,,,0.0276,,,0,,
2024-02-10 11:21:10,0.178,,,0.0192,,,0,,
2024-02-10 11:21:20,0.207,,,0.0192,,,0,,
2024-02-10 11:21:30,0.250,,,0.0255,,,0,,
2024-02-10 11:21:40,0.215,,,0.0192,,,0,,
2024-02-10 11:21:50,0.185,,,0.0192,,,0,,
2024-02-10 11:22:00,0.251,,,0.0276,,,0,,
2024-02-10 11:22:10,0.128,,,0.0180,,,0,,
2024-02-10 11:22:20,0.122,,,0.0180,,,0,,
2024-02-10 11:22:30,0.161,,,0.0240,,,0,,
2024-02-10 11:22:40,0.121,,,0.0177,,,0,,
2024-02-10 11:22:50,0.180,,,0.0201,,,0,,
2024-02-10 11:23:00,0.262,,,0.0267,,,0,,
2024-02-10 11:23:10,0.191,,,0.0189,,,0,,
2024-02-10 11:23:20,0.167,,,0.0192,,,0,,
2024-02-10 11:23:30,0.286,,,0.0258,,,0,,
2024-02-10 11:23:40,0.200,,,0.0186,,,0,,
2024-02-10 11:23:50,0.205,,,0.0213,,,0,,
2024-02-10 11:24:00,0.302,,,0.0279,,,0,,
2024-02-10 11:24:10,0.185,,,0.0198,,,0,,
2024-02-10 11:24:20,0.199,,,0.0189,,,0,,
2024-02-10 11:24:30,0.374,,,0.0252,,,0,,
2024-02-10 11:24:40,0.161,,,0.0186,,,0,,
2024-02-10 11:24:50,0.163,,,0.0192,,,0,,
2024-02-10 11:25:00,0.242,,,0.0261,,,0,,
2024-02-10 11:25:10,0.143,,,0.0183,,,0,,
2024-02-10 11:25:20,0.121,,,0.0180,,,0,,
2024-02-10 11:25:30,0.161,,,0.0240,,,0,,
2024-02-10 11:25:40,0.120,,,0.0177,,,0,,
2024-02-10 11:25:50,0.137,,,0.0189,,,0,,
2024-02-10 11:26:00,0.279,,,0.0309,,,0,,
2024-02-10 11:26:10,0.193,,,0.0210,,,0,,
2024-02-10 11:26:20,0.238,,,0.0186,,,0,,
2024-02-10 11:26:30,0.262,,,0.0258,,,0,,
2024-02-10 11:26:40,0.197,,,0.0186,,,0,,
2024-02-10 11:26:50,0.188,,,0.0201,,,0,,
2024-02-10 11:27:00,0.330,,,0.0342,,,0,,
2024-02-10 11:27:10,0.215,,,0.0204,,,0,,
2024-02-10 11:27:20,0.181,,,0.0198,,,0,,
2024-02-10 11:27:30,0.274,,,0.0261,,,0,,
2024-02-10 11:27:40,0.188,,,0.0198,,,0,,
