sep=,
"Time","worker"
2024-02-17 22:50:00,0
2024-02-17 22:50:30,0
2024-02-17 22:51:00,0
2024-02-17 22:51:30,0
2024-02-17 22:52:00,0
2024-02-17 22:52:30,11.9
2024-02-17 22:53:00,12.8
2024-02-17 22:53:30,12.8
2024-02-17 22:54:00,12
2024-02-17 22:54:30,12.7
2024-02-17 22:55:00,12.1
2024-02-17 22:55:30,12
2024-02-17 22:56:00,12.8
2024-02-17 22:56:30,12
2024-02-17 22:57:00,12
2024-02-17 22:57:30,12.8
2024-02-17 22:58:00,11.3
2024-02-17 22:58:30,12.8
2024-02-17 22:59:00,12
2024-02-17 22:59:30,12
2024-02-17 23:00:00,12.7
2024-02-17 23:00:30,12.5
2024-02-17 23:01:00,12
2024-02-17 23:01:30,12.4
2024-02-17 23:02:00,11.4
2024-02-17 23:02:30,12.8
2024-02-17 23:03:00,11.2
2024-02-17 23:03:30,12.8
2024-02-17 23:04:00,12.3
2024-02-17 23:04:30,12.5
2024-02-17 23:05:00,12.8
2024-02-17 23:05:30,12.8
2024-02-17 23:06:00,12.7
2024-02-17 23:06:30,11.2
2024-02-17 23:07:00,11.2
2024-02-17 23:07:30,11.2
2024-02-17 23:08:00,12.8
2024-02-17 23:08:30,11.7
2024-02-17 23:09:00,11.2
2024-02-17 23:09:30,12.6
2024-02-17 23:10:00,12.8
2024-02-17 23:10:30,12.7
2024-02-17 23:11:00,11.9
2024-02-17 23:11:30,12.8
2024-02-17 23:12:00,12.6
2024-02-17 23:12:30,12
2024-02-17 23:13:00,12
2024-02-17 23:13:30,12.1
2024-02-17 23:14:00,12
2024-02-17 23:14:30,11.3
2024-02-17 23:15:00,12
2024-02-17 23:15:30,12.7
2024-02-17 23:16:00,12
2024-02-17 23:16:30,6.40
2024-02-17 23:17:00,12
2024-02-17 23:17:30,12.1
2024-02-17 23:18:00,12
2024-02-17 23:18:30,5.80
2024-02-17 23:19:00,5.60
2024-02-17 23:19:30,12.8
2024-02-17 23:20:00,11.9
2024-02-17 23:20:30,12.8
2024-02-17 23:21:00,11.1
2024-02-17 23:21:30,12
2024-02-17 23:22:00,11.2
2024-02-17 23:22:30,12.8
2024-02-17 23:23:00,11.2
2024-02-17 23:23:30,12.8
2024-02-17 23:24:00,11.2
2024-02-17 23:24:30,12
2024-02-17 23:25:00,10.5
2024-02-17 23:25:30,11.2
2024-02-17 23:26:00,12.8
2024-02-17 23:26:30,12.8
2024-02-17 23:27:00,11.2
2024-02-17 23:27:30,11.9
2024-02-17 23:28:00,12
2024-02-17 23:28:30,12.8
2024-02-17 23:29:00,11.3
2024-02-17 23:29:30,12
2024-02-17 23:30:00,12
2024-02-17 23:30:30,12.1
2024-02-17 23:31:00,12.8
2024-02-17 23:31:30,11.3
2024-02-17 23:32:00,12
2024-02-17 23:32:30,12
2024-02-17 23:33:00,12
2024-02-17 23:33:30,0
2024-02-17 23:34:00,0
2024-02-17 23:34:30,0
2024-02-17 23:35:00,0
2024-02-17 23:35:30,0
2024-02-17 23:36:00,0
2024-02-17 23:36:30,0
2024-02-17 23:37:00,0
2024-02-17 23:37:30,0
2024-02-17 23:38:00,0
2024-02-17 23:38:30,75
2024-02-17 23:39:00,73.5
2024-02-17 23:39:30,54.2
2024-02-17 23:40:00,70.3
2024-02-17 23:40:30,68.8
2024-02-17 23:41:00,74.4
2024-02-17 23:41:30,72.9
2024-02-17 23:42:00,72.4
2024-02-17 23:42:30,71.1
2024-02-17 23:43:00,68.2
2024-02-17 23:43:30,74.6
2024-02-17 23:44:00,73
2024-02-17 23:44:30,72.1
2024-02-17 23:45:00,70.5
2024-02-17 23:45:30,69.2
2024-02-17 23:46:00,70
2024-02-17 23:46:30,76.2
2024-02-17 23:47:00,64.2
2024-02-17 23:47:30,70.7
2024-02-17 23:48:00,69.7
2024-02-17 23:48:30,97
2024-02-17 23:49:00,72.2
2024-02-17 23:49:30,72.6
2024-02-17 23:50:00,70.2
2024-02-17 23:50:30,58.3
2024-02-17 23:51:00,73.1
2024-02-17 23:51:30,72.1
2024-02-17 23:52:00,71.2
2024-02-17 23:52:30,54.4
2024-02-17 23:53:00,69.9
2024-02-17 23:53:30,5.50
2024-02-17 23:54:00,74.4
2024-02-17 23:54:30,72.1
2024-02-17 23:55:00,86.3
2024-02-17 23:55:30,69.6
2024-02-17 23:56:00,75.5
2024-02-17 23:56:30,72.9
2024-02-17 23:57:00,72.1
2024-02-17 23:57:30,70.2
2024-02-17 23:58:00,68.8
2024-02-17 23:58:30,72.9
2024-02-17 23:59:00,73.2
2024-02-17 23:59:30,71.5
2024-02-18 00:00:00,49.4
2024-02-18 00:00:30,65.8
2024-02-18 00:01:00,74.7
2024-02-18 00:01:30,72.8
2024-02-18 00:02:00,71.4
2024-02-18 00:02:30,70.4
2024-02-18 00:03:00,69.5
2024-02-18 00:03:30,72.9
2024-02-18 00:04:00,73.4
2024-02-18 00:04:30,71.3
2024-02-18 00:05:00,70.4
2024-02-18 00:05:30,69.2
2024-02-18 00:06:00,59.6
2024-02-18 00:06:30,73.4
2024-02-18 00:07:00,92.4
2024-02-18 00:07:30,71.1
2024-02-18 00:08:00,69
2024-02-18 00:08:30,73.7
2024-02-18 00:09:00,66.5
2024-02-18 00:09:30,71.8
2024-02-18 00:10:00,69.6
2024-02-18 00:10:30,67.8
2024-02-18 00:11:00,66.9
2024-02-18 00:11:30,57.5
2024-02-18 00:12:00,72
2024-02-18 00:12:30,70.1
2024-02-18 00:13:00,69.3
2024-02-18 00:13:30,73.5
2024-02-18 00:14:00,72.8
2024-02-18 00:14:30,71.4
2024-02-18 00:15:00,69.6
2024-02-18 00:15:30,67.6
2024-02-18 00:16:00,73.7
2024-02-18 00:16:30,72.8
2024-02-18 00:17:00,72.6
2024-02-18 00:17:30,70.5
2024-02-18 00:18:00,68.6
2024-02-18 00:18:30,70.4
2024-02-18 00:19:00,73.5
2024-02-18 00:19:30,0
2024-02-18 00:20:00,0
2024-02-18 00:20:30,0
2024-02-18 00:21:00,0
2024-02-18 00:21:30,0
2024-02-18 00:22:00,0
2024-02-18 00:22:30,0
2024-02-18 00:23:00,0
2024-02-18 00:23:30,0
2024-02-18 00:24:00,0
2024-02-18 00:24:30,113
2024-02-18 00:25:00,89.8
2024-02-18 00:25:30,76.3
2024-02-18 00:26:00,70.9
2024-02-18 00:26:30,130
2024-02-18 00:27:00,93.2
2024-02-18 00:27:30,78.1
2024-02-18 00:28:00,70.6
2024-02-18 00:28:30,88.3
2024-02-18 00:29:00,5.30
2024-02-18 00:29:30,88.8
2024-02-18 00:30:00,74
2024-02-18 00:30:30,92.6
2024-02-18 00:31:00,99.2
2024-02-18 00:31:30,83.4
2024-02-18 00:32:00,72.4
2024-02-18 00:32:30,106
2024-02-18 00:33:00,98.4
2024-02-18 00:33:30,105
2024-02-18 00:34:00,78.2
2024-02-18 00:34:30,68
2024-02-18 00:35:00,67.4
2024-02-18 00:35:30,147
2024-02-18 00:36:00,89
2024-02-18 00:36:30,78.4
2024-02-18 00:37:00,71.6
2024-02-18 00:37:30,85.3
2024-02-18 00:38:00,107
2024-02-18 00:38:30,108
2024-02-18 00:39:00,69.7
2024-02-18 00:39:30,68.2
2024-02-18 00:40:00,63.6
2024-02-18 00:40:30,132
2024-02-18 00:41:00,90.9
2024-02-18 00:41:30,76.3
2024-02-18 00:42:00,65.2
2024-02-18 00:42:30,2.10
2024-02-18 00:43:00,154
2024-02-18 00:43:30,109
2024-02-18 00:44:00,84.5
2024-02-18 00:44:30,61.9
2024-02-18 00:45:00,55.8
2024-02-18 00:45:30,123
2024-02-18 00:46:00,104
2024-02-18 00:46:30,76.5
2024-02-18 00:47:00,59.8
2024-02-18 00:47:30,57.8
2024-02-18 00:48:00,71.3
